Назва банку,Курс купівлі,Курс продажу
Приватбанк,41.390,41.990
Ощадбанк,41.600,42.000
Укрексімбанк,41.450,42.050
Райффайзен Банк,41.660,41.950
ПУМБ,41.500,42.100
Сенс Банк,41.550,42.050
Укрсиббанк,41.450,42.050
OTP Bank,41.400,41.980
Креді Агріколь Банк,41.650,42.140
Кредобанк,41.610,42.080
Південний,41.650,41.900
Таскомбанк,41.550,42.100
абанк,41.500,42.200
Прокредит Банк,41.450,42.000
Восток Банк,Немає даних,
Банк Кредит Дніпро,41.750,42.050
МТБ Банк,41.500,42.000
Акордбанк,41.560,42.050
Глобус,41.350,42.100
Ідея Банк,41.500,41.990
Альянс Банк,41.400,41.850
Радабанк,41.600,42.000
Правекс Банк,41.200,41.950
Піреус Банк,41.600,41.990
Кліринговий Дім,41.550,41.850
Комінбанк,41.570,41.830
Полтава-Банк,41.650,41.940
Міжнародний Інвестиційний Банк,41.500,42.050
Індустріалбанк,41.500,41.900
Юнекс Банк,41.300,41.990
Агропросперіс Банк,41.630,42.020
Грант,41.400,42.000
Кристалбанк,41.100,41.880
Альтбанк,41.500,42.000
РВС Банк,41.400,41.880
Європромбанк,41.600,41.900
Банк 3/4,41.550,41.950
Метабанк,39.500,42.300
Кредитвест Банк,41.600,41.900
Український капітал,41.500,41.900
Полікомбанк,41.100,41.900
Мотор-Банк,41.400,42.050
Український банк реконструкції та розвитку,40.400,42.000
БТА Банк,41.500,42.100
Траст-капітал,41.400,41.850
izibank,41.600,42.050
O.Bank,Немає даних,
monobank,Немає даних,
