Назва товару,Ціна,Посилання на товар,Наявність
Мобільний телефон Samsung Galaxy S25 Ultra 12/512GB Titanium Black (SM-S938BZKGEUC),61 199,https://rozetka.com.ua/ua/samsung-sm-s938bzkgeuc/p473275184/,Готовий до відправлення
Мобільний телефон Apple iPhone 16 Pro 256GB Black Titanium (MYNH3SX/A),56 699,https://rozetka.com.ua/ua/apple-mynh3sx-a/p448428575/,Готовий до відправлення
Мобільний телефон Samsung Galaxy S24 FE 8/256GB Graphite (SM-S721BZKGEUC),26 099,https://rozetka.com.ua/ua/samsung-sm-s721bzkgeuc/p450350984/,Готовий до відправлення
Мобільний телефон Samsung Galaxy Fold 7 12/512GB Jet Black (SM-F966BZKCSEK),84 999,https://rozetka.com.ua/ua/samsung-sm-f966bzkcsek/p523658994/,Передзамовлення
Мобільний телефон Samsung Galaxy Flip 7 12/512GB Jet Black (SM-F766BZKHSEK),49 999,https://rozetka.com.ua/ua/samsung-sm-f766bzkhsek/p523659124/,Передзамовлення
Мобільний телефон Apple iPhone 13 128GB Starlight (MLPG3HU/A),22 999,https://rozetka.com.ua/ua/apple_iphone_13_128gb_starlight/p318463900/,Готовий до відправлення
Мобільний телефон Samsung Galaxy A56 5G 8/256GB Awesome Graphite (SM-A566BZKCEUC),19 999,https://rozetka.com.ua/ua/samsung-sm-a566bzkceuc/p484698794/,Готовий до відправлення
Мобільний телефон Xiaomi Redmi Note 14 Pro 8/256GB Sand Gold,10 999,https://rozetka.com.ua/ua/xiaomi-redmi-note-14-pro-8-256gb-sand-gold/p516281614/,Готовий до відправлення
Мобільний телефон Samsung Galaxy Flip 7 FE 8/256GB Black (SM-F761BZKHSEK),41 999,https://rozetka.com.ua/ua/samsung-sm-f761bzkhsek/p523659189/,Передзамовлення
Мобільний телефон Apple iPhone 14 128GB Midnight (MPUF3RX/A),25 999,https://rozetka.com.ua/ua/apple-iphone-14-128gb-midnight/p352486566/,Готовий до відправлення
Мобільний телефон Xiaomi Redmi Note 14 8/256GB Midnight Black (1123261),7 499,https://rozetka.com.ua/ua/xiaomi-1123261/p472952544/,Готовий до відправлення
Мобільний телефон Motorola E14 4/64GB Graphite Grey (001012272416),2 999,https://rozetka.com.ua/ua/motorola-001012272416/p501142519/,Готовий до відправлення
